face_match_confidence,liveness_score,tamper_risk_score,doc_auth_score,identity_consistency,fraud_pattern_risk,is_verified
78,44,75,77,76,26,0
91,78,25,52,69,23,1
68,97,18,62,90,66,0
54,41,59,99,70,62,0
82,88,70,93,49,47,1
47,66,46,61,54,62,0
60,90,70,55,81,11,0
78,72,25,67,98,27,1
97,99,39,87,87,43,1
58,68,4,74,83,42,0
62,85,20,99,57,16,1
50,92,77,84,62,39,0
50,75,3,85,72,48,1
63,40,22,47,55,56,0
92,91,14,83,93,63,1
75,54,7,94,77,56,1
79,81,40,94,74,69,1
63,33,18,61,73,42,0
42,88,45,60,67,22,0
61,49,27,65,41,26,0
92,92,67,79,69,57,1
41,83,14,60,52,36,0
63,86,36,64,80,5,0
83,70,0,80,55,64,1
69,32,66,40,98,5,0
77,35,23,45,44,49,0
41,34,26,62,94,21,0
99,34,39,90,67,24,0
60,83,62,62,92,50,0
72,76,60,82,78,47,1
51,78,35,82,84,69,0
97,38,23,62,59,64,0
61,49,23,71,63,59,0
83,90,3,69,66,45,1
64,64,66,52,69,35,0
88,79,33,82,97,57,1
66,91,56,57,84,37,0
98,46,48,62,66,10,0
81,32,52,54,65,11,0
67,61,22,72,46,41,0
99,42,68,60,81,38,0
55,97,52,96,86,10,1
54,43,61,78,92,35,0
86,40,40,62,98,51,0
90,85,56,66,77,30,0
83,96,59,84,44,32,1
94,58,53,83,62,12,0
91,38,69,57,67,17,0
96,96,56,63,73,40,0
42,54,9,90,92,57,0
76,71,39,86,54,55,1
90,38,6,79,71,23,1
46,69,37,90,65,30,0
60,54,60,81,87,54,0
48,34,2,46,70,9,0
78,40,50,89,58,59,0
57,88,46,87,48,1,0
43,67,67,59,68,14,0
64,34,75,66,93,2,0
99,77,37,45,97,42,0
53,47,35,66,90,30,0
89,99,40,48,78,69,0
97,66,68,92,43,66,1
48,89,12,84,42,55,1
65,77,57,96,95,62,0
92,57,49,70,68,14,0
41,98,29,60,91,9,1
59,69,61,65,50,37,0
67,74,24,79,72,46,1
86,91,26,87,77,56,1
99,87,50,84,97,49,1
46,96,77,52,50,14,0
83,85,56,88,66,17,1
47,69,46,62,72,1,0
86,69,38,59,60,42,0
74,62,15,76,78,25,1
53,35,21,93,70,37,0
56,48,53,92,77,41,0
75,69,20,67,85,4,1
89,88,71,56,41,10,0
79,88,15,67,66,64,1
43,77,58,80,75,33,0
41,70,30,41,50,0,0
45,42,41,64,86,1,0
93,74,73,97,57,19,1
81,82,31,89,98,60,1
43,71,58,80,40,20,0
93,92,33,45,74,67,0
68,56,8,50,74,11,0
57,67,10,96,70,21,1
65,89,9,77,67,19,1
83,36,16,45,78,0,1
73,34,67,84,40,29,0
49,74,47,50,64,23,0
75,87,51,53,82,13,1
53,60,24,41,77,35,0
70,52,20,79,59,68,0
87,71,64,42,42,23,0
54,39,62,94,90,59,0
47,61,50,92,41,54,0
53,82,35,74,57,23,0
62,59,65,72,83,23,0
99,68,14,63,49,53,1
96,60,38,58,44,25,0
79,31,69,57,48,65,0
60,41,0,88,41,37,0
55,68,22,91,73,64,1
84,95,38,63,99,50,0
57,42,56,84,77,34,0
86,75,33,74,70,42,0
92,56,40,40,49,28,0
63,46,72,75,89,36,0
65,89,12,64,51,57,0
64,93,69,84,75,53,0
99,64,5,88,93,38,1
99,99,51,99,60,41,1
99,59,2,82,88,27,1
84,92,62,73,86,28,0
80,57,48,64,45,42,0
68,89,75,55,87,2,0
54,66,46,73,88,9,0
84,51,54,68,42,58,0
40,97,63,58,49,13,0
64,49,64,62,44,46,0
46,97,66,58,85,41,0
48,93,14,64,65,31,0
63,46,31,55,60,31,0
40,41,67,93,84,41,0
83,51,17,90,65,31,1
47,46,42,48,77,25,0
63,39,34,40,83,0,0
50,94,77,81,65,55,0
90,51,57,58,47,1,0
56,79,32,72,44,29,0
47,43,13,73,54,51,0
74,93,33,55,98,8,1
74,76,60,83,55,21,1
72,58,3,79,40,33,1
98,65,58,94,55,48,1
44,81,28,57,76,0,1
81,36,5,73,42,52,0
78,58,48,64,91,39,0
97,40,39,84,86,44,0
80,62,64,45,70,67,0
67,35,68,60,52,8,0
46,61,26,97,95,21,1
48,80,79,45,55,17,0
47,87,5,71,94,42,0
51,55,12,80,82,38,0
73,75,63,87,60,5,1
72,58,61,82,41,47,0
87,33,18,78,93,6,1
94,42,75,70,66,68,0
62,68,79,81,77,15,1
63,44,42,49,65,0,0
76,58,73,69,97,36,0
74,58,19,96,98,36,1
83,61,67,91,77,63,1
79,31,43,57,85,61,0
61,76,22,99,64,60,1
66,51,1,63,50,32,0
74,56,21,91,47,65,1
40,96,56,48,47,29,0
74,85,71,70,72,19,1
76,50,6,54,92,59,0
86,76,77,43,46,23,0
53,88,55,79,77,3,1
42,35,66,48,60,36,0
40,48,15,84,47,3,0
44,86,50,48,90,17,0
65,98,79,65,93,65,0
94,32,71,43,60,47,0
53,30,11,56,95,32,0
78,87,52,55,59,57,0
66,67,74,54,47,27,0
48,44,4,74,97,34,0
54,63,26,96,85,9,1
54,90,11,91,70,64,1
65,64,16,44,89,41,0
81,93,5,94,96,8,1
99,54,4,44,68,59,0
52,53,56,59,87,14,0
90,41,27,54,48,56,0
71,47,77,57,54,68,0
78,44,68,86,69,21,0
88,56,58,41,65,63,0
91,89,32,68,49,40,0
71,75,61,52,68,55,0
43,46,49,43,93,22,0
69,82,18,81,55,24,1
76,37,68,84,75,5,1
62,56,65,49,59,33,0
78,75,46,70,84,62,0
84,79,38,80,93,8,1
54,32,67,47,76,59,0
82,93,32,42,61,48,0
68,73,12,87,46,50,1
75,82,53,85,62,59,1
52,53,6,48,80,69,0
71,89,78,69,79,36,0
46,32,13,92,68,30,0
98,49,18,50,55,40,0
90,75,53,74,77,61,0
61,44,19,76,67,57,0
67,54,28,81,87,13,1
41,46,23,52,77,35,0
81,38,62,75,70,35,0
84,67,73,95,53,7,1
96,77,56,52,92,25,0
92,89,7,51,72,35,1
45,92,61,76,96,47,0
67,31,28,49,48,27,0
67,40,73,99,96,67,0
83,93,16,95,66,61,1
83,50,65,48,63,50,0
59,47,5,91,52,41,0
69,93,57,46,65,28,0
50,67,68,41,68,9,0
97,61,27,93,90,38,1
94,40,61,95,88,0,1
67,74,40,99,82,38,0
64,62,68,62,67,20,0
78,70,40,78,67,64,1
72,37,48,79,47,14,0
40,40,48,78,62,3,0
96,80,75,60,68,59,0
66,70,70,62,44,60,0
96,46,2,68,81,19,1
91,75,9,53,46,9,1
52,61,34,65,81,33,0
80,83,79,90,75,47,1
42,49,1,44,80,32,0
78,62,23,94,66,60,1
45,69,73,70,97,9,0
47,61,37,64,85,53,0
66,31,21,70,41,64,0
48,62,25,89,64,0,1
76,59,42,59,48,4,0
72,62,54,83,92,14,1
90,55,38,94,66,27,0
81,51,28,56,40,22,0
83,95,19,84,62,16,1
63,67,40,41,49,12,0
54,75,53,64,81,13,0
98,44,19,52,91,10,1
93,73,18,97,64,27,1
71,78,65,78,93,41,1
71,90,29,67,42,60,1
63,96,52,81,45,63,0
80,35,33,94,97,30,0
91,38,21,45,45,9,0
88,35,66,42,92,7,0
88,61,5,97,41,20,1
97,70,78,74,97,58,0
91,37,26,57,97,49,0
51,79,9,50,57,68,0
78,91,72,93,62,69,1
41,91,47,59,41,29,0
42,36,69,44,51,16,0
88,33,58,58,61,19,0
76,35,58,61,76,47,0
88,87,1,98,59,1,1
95,51,28,99,78,36,1
56,55,67,58,63,0,0
98,32,64,86,87,3,1
88,70,25,55,59,53,1
41,89,9,63,40,24,0
41,43,52,80,40,2,0
67,41,78,43,56,8,0
93,41,58,54,98,33,0
62,42,21,64,40,42,0
76,54,50,83,92,21,1
71,74,47,94,91,69,1
72,48,20,74,84,1,1
40,84,21,94,69,65,1
58,74,29,53,80,31,0
41,37,24,88,86,15,1
92,82,27,58,42,0,1
83,84,64,77,85,47,1
65,61,44,75,94,49,0
71,80,67,46,50,12,0
45,73,6,69,63,14,0
71,99,48,58,61,52,0
94,47,8,88,83,43,1
43,51,35,64,84,7,0
94,66,0,55,65,45,1
50,85,9,86,52,68,1
95,88,35,93,40,18,1
98,32,72,79,63,37,0
56,57,45,90,49,10,0
77,64,31,47,74,42,0
63,90,31,57,63,19,0
44,83,5,67,67,19,0
91,92,47,55,75,20,1
73,36,37,91,55,56,0
45,78,16,58,79,49,0
61,60,73,81,55,25,0
50,87,26,56,98,29,0
87,90,53,84,56,30,1
55,53,49,52,90,41,0
72,49,34,46,93,67,0
48,66,24,66,54,60,0
99,33,27,49,55,60,0
98,49,14,73,54,69,0
45,89,3,75,96,67,0
55,53,72,64,73,16,0
68,79,26,45,50,18,0
42,78,25,63,40,50,0
59,80,18,57,54,69,0
99,65,16,62,65,62,1
98,95,42,45,90,29,0
75,63,40,68,43,24,0
58,65,41,64,82,25,0
65,35,49,94,44,55,0
42,68,39,56,74,21,0
58,71,38,85,52,18,0
59,87,22,63,49,30,0
71,41,51,50,50,25,0
46,32,46,65,57,41,0
91,47,62,90,73,40,0
80,69,68,73,78,22,1
72,50,42,67,80,46,0
79,44,47,42,81,12,0
78,55,33,50,89,65,0
57,37,39,77,62,65,0
79,71,74,53,46,15,0
40,73,60,90,98,27,0
50,43,49,65,78,34,0
67,31,66,87,42,40,0
96,66,61,60,51,30,0
64,98,57,93,46,31,0
89,67,32,95,88,53,1
62,70,74,78,65,58,0
70,91,15,69,72,40,0
69,89,47,98,76,65,0
81,43,9,47,87,53,0
74,31,37,90,54,39,0
46,99,18,59,41,27,0
99,46,35,87,80,36,0
55,57,58,71,46,64,0
65,95,62,61,71,54,0
87,64,76,98,43,3,1
96,34,45,46,59,9,0
91,94,2,48,89,46,1
99,69,73,84,92,13,1
88,85,64,40,75,37,0
41,65,7,68,71,11,1
40,74,50,47,67,44,0
87,52,72,95,52,16,0
51,76,5,93,40,34,1
44,60,38,43,99,65,0
76,40,59,74,95,40,0
71,39,27,98,74,66,1
98,96,53,42,87,28,0
94,43,36,93,69,17,0
48,39,8,84,93,19,1
80,30,55,79,75,13,1
74,34,58,46,96,33,0
58,49,1,66,94,48,0
87,37,60,40,64,53,0
55,72,57,66,55,30,0
42,30,59,55,97,57,0
59,86,39,77,58,41,0
63,93,35,46,40,57,0
93,57,36,83,44,29,0
95,66,78,62,90,24,1
72,76,17,80,61,62,1
63,66,62,98,63,18,0
91,78,21,50,82,7,1
50,73,10,81,84,2,1
88,85,57,92,91,66,1
47,57,56,72,76,16,0
75,35,76,89,92,13,1
77,90,3,75,75,8,1
79,49,6,76,75,61,1
59,31,60,80,43,20,0
74,66,53,98,75,36,1
87,49,67,56,91,10,0
64,55,78,74,92,19,0
74,58,0,87,57,34,1
64,30,54,44,89,52,0
68,64,2,87,55,46,1
57,99,77,71,80,51,0
85,88,37,42,57,7,0
57,98,0,91,61,3,1
41,62,37,86,41,26,0
93,80,28,74,60,43,1
74,41,4,91,75,39,1
55,49,73,53,83,46,0
80,82,20,87,78,43,1
75,72,70,70,86,47,0
72,79,66,70,78,51,0
43,58,46,56,68,67,0
72,86,34,99,93,10,1
53,68,67,63,65,3,0
60,85,68,91,60,47,0
